STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
26,18330,2618330,Highland Park City Schools,00,KG,12,G5420,,E,7694309,0,+42.4052278,-083.0976471
26,18360,2618360,Hillman Community Schools,00,KG,12,G5420,,E,732252490,33972417,+45.0692339,-084.0430604
26,18390,2618390,Hillsdale Community Schools,00,PK,12,G5420,,E,175768111,5958473,+41.8862976,-084.6226982
26,18420,2618420,Holland City School District,00,PK,12,G5420,,E,42354092,2690556,+42.7725503,-086.1215320
26,18450,2618450,Holly Area School District,00,KG,12,G5420,,E,243411411,10270610,+42.7830707,-083.5838918
26,18480,2618480,Holt Public Schools,00,PK,12,G5420,,E,82206640,1294151,+42.6463056,-084.5757454
26,18510,2618510,Holton Public Schools,00,KG,12,G5420,,E,242024950,11183670,+43.3868858,-086.1116868
26,18540,2618540,Homer Community Schools,00,KG,12,G5420,,E,241884243,2067258,+42.1393326,-084.8198314
26,18570,2618570,Hopkins Public Schools,00,KG,12,G5420,,E,244706709,1768756,+42.6580269,-085.7706403
26,18600,2618600,Houghton Lake Community School District,00,KG,12,G5420,,E,1116097380,100783962,+44.2835095,-084.7013106
26,18720,2618720,Howell Public Schools,00,KG,12,G5420,,E,401754641,9576781,+42.6209237,-083.9337721
26,18810,2618810,Hudson Area Schools,00,KG,12,G5420,,E,223566634,3276838,+41.8629573,-084.3047636
26,18840,2618840,Hudsonville Public School District,00,PK,12,G5420,,E,204779314,460088,+42.8550625,-085.8746717
26,18930,2618930,Huron School District,00,KG,12,G5420,,E,100503359,1010886,+42.1332568,-083.3786942
26,18990,2618990,Huron Valley Schools,00,PK,12,G5420,,E,239953694,17493962,+42.6255577,-083.5961564
26,19050,2619050,Ida Public School District,00,KG,12,G5420,,E,166699328,587737,+41.8828834,-083.5622357
26,19100,2619100,Imlay City Community Schools,00,PK,12,G5420,,E,266488845,2977357,+43.0576257,-083.0804804
26,19140,2619140,Inkster City School District,00,PK,12,G5420,,E,8491055,0,+42.2860717,-083.3249128
26,19170,2619170,Inland Lakes Schools,00,KG,12,G5420,,E,348216875,71300836,+45.4075232,-084.5532619
26,19250,2619250,Ionia Public Schools,00,PK,12,G5420,,E,342824302,4919577,+43.0059557,-085.0096429
