favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
6,WVDE Twitbot,"Near Beckley in #Raleigh Co: Bus 61, running 30 minutes late for high/middle school.",,False,Wed Mar 30 11:11:09 +0000 2016,2,715134263830716416
26,WVDE Twitbot,All schools in #Raleigh Co closed Tue 2/17/15 due to weather conditions,,False,Mon Feb 16 22:35:05 +0000 2015,70,567452130601349120
2,WVDE Twitbot,"Near Oak Hill in #Fayette Co: Bus #1203 No High School, Middle School or Elementary Run",,False,Mon Dec 16 11:15:59 +0000 2013,2,412541613479436288
4,WVDE Twitbot,"Near Fairdale Elementary in #Raleigh Co: Bus 41, running 10 minutes late for elementary.",,False,Tue Sep 13 11:42:37 +0000 2016,1,775660954537394176
29,WVDE Twitbot,All schools in #Lincoln Co on a 2-hr delay Fri 3/4/16,,False,Fri Mar 04 01:11:48 +0000 2016,21,705561349162721280
41,WVDE Twitbot,All schools in #Ohio Co closed Mon 2/16/15,,False,Mon Feb 16 00:50:41 +0000 2015,92,567123869627334656
8,WVDE Twitbot,All schools in #Taylor Co closed Tue 2/4/14,,False,Mon Feb 03 23:46:24 +0000 2014,14,430487466546835456
5,WVDE Twitbot,All schools in #Raleigh Co on a 2-hr delay Fri 1/30/15 due to weather conditions,,False,Fri Jan 30 09:44:02 +0000 2015,24,561097496714543105
8,WVDE Twitbot,UPDATE: All schools in #Berkeley Co now closed Fri 2/1/13,,False,Fri Feb 01 12:43:21 +0000 2013,40,297324256935673856
5,WVDE Twitbot,All schools in #Roane Co on a 2-hr delay Mon 12/9/13 due to weekend snow and potential flooding,,False,Mon Dec 09 01:49:35 +0000 2013,11,409862356911403008
18,WVDE Twitbot,All schools in #Mason Co on a 2-hr delay Tue 2/11/14 due to Inclement Weather,,False,Tue Feb 11 00:44:57 +0000 2014,28,433038915981680640
0,WVDE Twitbot,"All schools in #Upshur Co on a 2-hr delay Tue 1/3/12 Upshur County Schools will operate on a two-hour delay, Tuesday, January 3, 2012.",,False,Tue Jan 03 01:17:37 +0000 2012,1,154008479080779776
6,WVDE Twitbot,Chamberlain Elementary School in #Kanawha Co closing @ 10:30 Fri 9/18/15 due to Bed Bug Problem,,False,Fri Sep 18 13:47:24 +0000 2015,4,644870339726569472
2,WVDE Twitbot,Man Elementary School in #Logan Co on a 2-hr delay Thu 1/9/14,,False,Wed Jan 08 23:18:54 +0000 2014,0,421058460428406784
