X,Y,code,lat,lon,elevation,station_name,STATEFP,UNSDLEA,AFFGEOID,GEOID,district,LSAD,ALAND,AWATER
-82.28330,38.55000,USC00465055,38.55000,-82.28330,167.60000,WV LESAGE GREENBOTTOM,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
-80.40420,37.85670,USC00465224,37.85670,-80.40420,701.00000,WV LEWISBURG 3,54,00390,9700000US5400390,5400390,Greenbrier County School District,00,-1654077674,12578200
-80.65560,37.47970,USC00465284,37.47970,-80.65560,605.00000,WV LINDSIDE,54,00960,9700000US5400960,5400960,Monroe County School District,00,1224422315,2298715
-80.41670,38.96670,USC00465314,38.96670,-80.41670,326.10000,WV LITTLE SKIN CREEK,54,00630,9700000US5400630,5400630,Lewis County School District,00,1002071716,7108412
-81.53110,38.89560,USC00465323,38.89560,-81.53110,202.70000,WV LIVERPOOL,54,00540,9700000US5400540,5400540,Jackson County School District,00,1202677932,18836099
-80.96670,38.85000,USC00465341,38.85000,-80.96670,219.50000,WV LOCKNEY,54,00330,9700000US5400330,5400330,Gilmer County School District,00,876717634,4082111
-81.98440,37.86610,USC00465353,37.86610,-81.98440,204.80000,WV LOGAN,54,00690,9700000US5400690,5400690,Logan County School District,00,1175209778,4830034
-81.37000,38.19360,USC00465365,38.19360,-81.37000,189.00000,WV LONDON LOCKS,54,00600,9700000US5400600,5400600,Kanawha County School District,00,-1959751630,24056487
-80.96670,38.06670,USC00465400,38.06670,-80.96670,702.00000,WV LOOKOUT 2,54,00300,9700000US5400300,5400300,Fayette County School District,00,1713494053,17519186
-78.83330,38.96670,USC00465440,38.96670,-78.83330,365.80000,WV LOST CITY,54,00480,9700000US5400480,5400480,Hardy County School District,00,1508194649,5617193
-80.41670,39.20000,USC00465445,39.20000,-80.41670,304.80000,WV LOST CREEK NEAR,54,00510,9700000US5400510,5400510,Harrison County School District,00,1077454917,1320319
-78.79810,38.94530,USC00465453,38.94530,-78.79810,515.10000,WV LOST RVR,54,00480,9700000US5400480,5400480,Hardy County School District,00,1508194649,5617193
-78.86670,38.86670,USC00465455,38.86670,-78.86670,609.60000,WV LOST RIVER STATE PARK,54,00480,9700000US5400480,5400480,Hardy County School District,00,1508194649,5617193
-81.20000,39.08330,USC00465547,39.08330,-81.20000,203.90000,WV MACFARLAN,54,01290,9700000US5401290,5401290,Ritchie County School District,00,1170648311,4425143
-81.84640,38.10250,USC00465563,38.10250,-81.84640,216.40000,WV MADISON 3NNW,54,00090,9700000US5400090,5400090,Boone County School District,00,1298967375,4305976
-81.88720,37.74470,USC00465600,37.74470,-81.88720,223.10000,WV MAN,54,00690,9700000US5400690,5400690,Logan County School District,00,1175209778,4830034
-80.35000,39.55000,USC00465621,39.55000,-80.35000,299.00000,WV MANNINGTON 1,54,00720,9700000US5400720,5400720,Marion County School District,00,799642461,7186185
